player,team,pos,pa,ab,runs,hits,batting_average,doubles,triples,hr,runs_batted_in,total_bases,walks,strikeouts,stolen_bases,on_base_percent,slg_percent,on_base_plus_slg
Carlos Narvaez,BOS,C,446,403,51,97,0.241,27,0,15,50,169,38,111,1,0.306,0.419,0.725
Andres Gimenez,TOR,2B,369,329,39,69,0.21,11,1,7,35,103,25,66,12,0.285,0.313,0.598
Caleb Durbin,NA,NA,506,445,60,114,0.256,25,0,11,53,172,30,50,18,0.334,0.387,0.721
Eugenio Suarez,SEA,3B,657,558,91,134,0.228,28,0,49,118,309,46,196,4,0.298,0.526,0.824
George Springer,TOR,RF,586,498,106,154,0.309,27,1,32,84,279,69,111,18,0.399,0.56,0.959
Javier Baez,DET,CF,437,417,55,107,0.257,17,3,12,57,166,10,109,5,0.282,0.398,0.68
Jose Ramirez,CLE,3B,673,593,103,168,0.283,34,3,30,85,298,66,74,44,0.36,0.503,0.863
Julio Rodriguez,SEA,CF,710,652,106,174,0.267,31,4,32,95,309,44,152,30,0.324,0.474,0.798
Teoscar Hernandez,LAD,RF,546,511,65,126,0.247,29,1,25,89,232,26,134,5,0.284,0.454,0.738
TJ Friedl,CIN,CF,685,579,82,151,0.261,22,2,14,53,219,81,115,12,0.364,0.378,0.742
Enrique Hernandez,LAD,1B,256,232,30,47,0.203,8,0,10,35,85,18,68,0,0.255,0.366,0.621
